seq00288	UniRef90_A0A0L0SNJ9	43.1	65	34	1	8	72	4	65	2.96e-12	65.9
seq00292	UniRef90_A0A7V2UWW4	50.8	59	25	1	17	75	9	63	3.64e-06	52.8
seq00297	UniRef90_UPI0022A8FE43	56.9	65	27	1	9	73	64	127	3.81e-09	61.2
seq00298	UniRef90_A0A535XNL0	55.0	80	36	0	1	80	1	80	4.61e-23	94.0
seq00307	UniRef90_R9KHZ2	48.2	56	29	0	7	62	28	83	3.79e-07	53.9
seq00313	UniRef90_B6R905	56.0	75	32	1	1	75	1	74	9.55e-14	73.6
seq00323	UniRef90_A0A6J4TJZ5	72.6	73	19	1	9	81	10	81	7.68e-25	105
seq00324	UniRef90_A0A520FZ19	47.0	66	26	2	12	74	9	68	1.63e-02	42.4
seq00326	UniRef90_A0A2H6AUZ4	79.1	43	9	0	37	79	16	58	1.17e-17	80.5
seq00327	UniRef90_UPI001BE97E6E	47.9	71	35	2	1	71	1	69	2.61e-09	60.5
seq00330	UniRef90_UPI000529D07A	42.6	54	24	1	6	59	251	297	3.31e-07	55.1
seq00334	UniRef90_A0A0B2BLJ6	46.5	71	38	0	4	74	5	75	1.09e-09	61.6
seq00337	UniRef90_H8GK59	35.5	76	45	3	1	72	2	77	2.39e-07	55.5
seq00344	UniRef90_A0A7C6JUZ2	44.8	67	36	1	6	72	124	189	2.35e-09	61.2
seq00346	UniRef90_A0A9E4DXM4	42.9	77	42	2	1	77	1	75	1.74e-07	56.6
seq00349	UniRef90_UPI002355D47F	41.1	56	27	1	24	73	14	69	1.36e-03	45.4
seq00361	UniRef90_A0A7W2R3K5	39.7	63	33	3	7	67	9	68	2.15e-02	41.6
seq00367	UniRef90_UPI00200A44BF	44.8	58	32	0	5	62	3	60	6.73e-09	56.2
seq00373	UniRef90_A0A2A9D147	63.2	76	28	0	2	77	300	375	6.20e-09	60.8
seq00376	UniRef90_A0A661Q4U3	41.7	60	34	1	8	66	48	107	7.13e-05	48.1
seq00380	UniRef90_UPI000901B4A0	53.1	49	19	1	20	64	2	50	5.05e-08	57.8
seq00381	UniRef90_A0A381ZFY6	45.0	40	22	0	29	68	2	41	9.31e-05	45.4
seq00382	UniRef90_A0A1Q3BNV1	54.3	35	16	0	2	36	102	136	3.02e-03	43.1
seq00392	UniRef90_UPI00158120CF	47.3	74	39	0	5	78	32	105	3.17e-11	66.2
seq00394	UniRef90_R5Z255	53.9	76	35	0	4	79	6	81	2.72e-21	94.0
seq00395	UniRef90_I6AX40	50.7	67	32	1	10	76	27	92	2.10e-13	73.2
seq00396	UniRef90_A0A965ZWW7	41.7	60	35	0	15	74	4	63	1.10e-03	45.1
seq00398	UniRef90_A0A561SDY0	49.0	51	24	2	14	62	21	71	4.54e-06	52.0
seq00399	UniRef90_UPI000834B125	65.6	61	21	0	14	74	5	65	1.37e-18	84.7
seq00400	UniRef90_A0A8G0KV71	51.4	72	32	2	5	76	9	77	4.74e-11	62.8
seq00401	UniRef90_A0A7C1D9D7	44.3	79	40	1	1	75	2	80	1.51e-13	73.2
